schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,correctness_passed,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,copy_roofline_gbps,copy_roofline_pct,rotation_buffers,rotation_working_set_bytes,l2_target_bytes,l2_eviction_between_calls,timed_samples
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,float16,float16,same,1e-06,True,407.834951,False,6.144,5.952,6.2176,24576,4.0,2974.420002,0.13448,4,98304,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,1,4096,float16,float16,same,1e-06,True,,False,11.744,11.36,12.224,24576,2.092643,2974.420002,0.070355,4,98304,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,float16,float16,same,1e-06,True,490.493889,False,18.304,17.759999,18.7936,40964,2.237981,2974.420002,0.075241,4,163856,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,float16,float16,same,1e-06,True,,False,12.992,12.128,13.568,40964,3.153017,2974.420002,0.106004,4,163856,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,float16,float32,float32,1e-06,True,261.587222,False,5.904,5.4944,6.144,32768,5.550135,2974.420002,0.186596,4,131072,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,1,4096,float16,float32,float32,1e-06,True,,False,26.384,25.782401,27.0176,32768,1.241965,2974.420002,0.041755,4,131072,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,float16,float32,float32,1e-06,True,460.011681,False,15.376,14.784,16.1376,57348,3.729709,2974.420002,0.125393,4,229392,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,float16,float32,float32,1e-06,True,,False,51.952001,49.7568,62.691201,57348,1.103865,2974.420002,0.037112,4,229392,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,bfloat16,bfloat16,same,1e-06,True,1.475243,False,6.112,5.7184,6.1952,24576,4.020942,2974.420002,0.135184,4,98304,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,1,4096,bfloat16,bfloat16,same,1e-06,True,,False,11.968,11.584,12.224,24576,2.053476,2974.420002,0.069038,4,98304,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,bfloat16,bfloat16,same,1e-06,True,441.902162,False,19.28,18.975999,19.6992,40964,2.124689,2974.420002,0.071432,4,163856,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,bfloat16,bfloat16,same,1e-06,True,,False,13.232,12.096,13.5872,40964,3.095828,2974.420002,0.104082,4,163856,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,bfloat16,float32,float32,1e-06,True,1.46656,False,6.112,5.888,6.2784,32768,5.361257,2974.420002,0.180245,4,131072,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,1,4096,bfloat16,float32,float32,1e-06,True,,False,26.384,25.846399,27.219201,32768,1.241965,2974.420002,0.041755,4,131072,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,bfloat16,float32,float32,1e-06,True,443.483953,False,15.392,15.008,16.1056,57348,3.725832,2974.420002,0.125262,4,229392,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,bfloat16,float32,float32,1e-06,True,,False,51.856,50.4512,55.334401,57348,1.105909,2974.420002,0.037181,4,229392,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,float32,float32,same,1e-06,True,250.094258,False,6.128,5.728,6.368,49152,8.020888,2974.420002,0.269662,4,196608,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,1,4096,float32,float32,same,1e-06,True,,False,10.272,10.048,10.528,49152,4.785047,2974.420002,0.160873,4,196608,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,float32,float32,same,1e-06,True,433.223032,False,15.728001,15.0848,16.4256,81924,5.208799,2974.420002,0.17512,4,327696,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,float32,float32,same,1e-06,True,,False,13.136,11.9808,13.7056,81924,6.236602,2974.420002,0.209675,4,327696,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,float16,float16,same,1e-06,True,0.21577,False,7.696,7.2992,8.2208,4202496,546.062375,2974.420002,18.358617,4,16809984,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,256,4096,float16,float16,same,1e-06,True,,False,12.336,12.064,12.7456,4202496,340.669264,2974.420002,11.453301,4,16809984,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,float16,float16,same,1e-06,True,447.535944,False,22.431999,22.175999,22.921599,6308864,281.243944,2974.420002,9.455421,4,25235456,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,float16,float16,same,1e-06,True,,False,16.272,15.1264,17.3216,6308864,387.71288,2974.420002,13.034907,4,25235456,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,float16,float32,float32,1e-06,True,0.152459,False,7.76,7.4464,8.032,4210688,542.614437,2974.420002,18.242697,4,16842752,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,256,4096,float16,float32,float32,1e-06,True,,False,43.312,42.278399,44.7296,4210688,97.217584,2974.420002,3.268455,4,16842752,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,float16,float32,float32,1e-06,True,453.326086,False,17.664,17.3664,18.656,6325248,358.086949,2974.420002,12.038883,4,25300992,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,float16,float32,float32,1e-06,True,,False,81.887998,80.300801,83.2096,6325248,77.242675,2974.420002,2.596899,4,25300992,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,bfloat16,bfloat16,same,1e-06,True,0.198131,False,7.776,7.5104,8.032,4202496,540.444439,2974.420002,18.169742,4,16809984,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,256,4096,bfloat16,bfloat16,same,1e-06,True,,False,12.256,11.8944,12.6816,4202496,342.892945,2974.420002,11.528061,4,16809984,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,bfloat16,bfloat16,same,1e-06,True,442.461536,False,21.679999,21.344,21.9936,6308864,290.999271,2974.420002,9.783395,4,25235456,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,bfloat16,bfloat16,same,1e-06,True,,False,16.496,15.5968,17.6,6308864,382.448111,2974.420002,12.857905,4,25235456,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,bfloat16,float32,float32,1e-06,True,0.159522,False,7.584,7.1584,7.968,4210688,555.206751,2974.420002,18.666051,4,16842752,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,256,4096,bfloat16,float32,float32,1e-06,True,,False,43.264002,41.996799,44.892799,4210688,97.32544,2974.420002,3.272081,4,16842752,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,bfloat16,float32,float32,1e-06,True,433.324191,False,17.6,17.1008,18.495999,6325248,359.389093,2974.420002,12.082661,4,25300992,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,bfloat16,float32,float32,1e-06,True,,False,82.448002,80.416001,84.435202,6325248,76.718027,2974.420002,2.57926,4,25300992,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,float32,float32,same,1e-06,True,0.175054,False,9.056,8.896,9.4592,8404992,928.11307,2974.420002,31.203161,4,33619968,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,256,4096,float32,float32,same,1e-06,True,,False,11.504,11.136,11.9136,8404992,730.614739,2974.420002,24.563267,4,33619968,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,float32,float32,same,1e-06,True,443.36939,False,20.08,19.6288,21.0528,12616704,628.321907,2974.420002,21.124182,4,50466816,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,float32,float32,same,1e-06,True,,False,18.592,17.6544,19.1584,12616704,678.609294,2974.420002,22.814844,4,50466816,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,float16,float16,same,1e-06,True,0.162506,False,9.024,8.896,9.3184,8396800,930.496475,2974.420002,31.283291,4,33587200,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,512,4096,float16,float16,same,1e-06,True,,False,12.96,12.5568,13.2576,8396800,647.901236,2974.420002,21.782439,4,33587200,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,float16,float16,same,1e-06,True,441.629853,False,23.984,23.4688,24.5888,12601344,525.406269,2974.420002,17.664159,4,50405376,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,float16,float16,same,1e-06,True,,False,19.2,18.2304,19.9008,12601344,656.320001,2974.420002,22.065478,4,50405376,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,float16,float32,float32,1e-06,True,0.165341,False,8.944,8.5472,9.088,8404992,939.735229,2974.420002,31.593898,4,33619968,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,512,4096,float16,float32,float32,1e-06,True,,False,55.039998,52.8352,56.156799,8404992,152.706982,2974.420002,5.134009,4,33619968,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,float16,float32,float32,1e-06,True,454.9935,False,20.304,19.616,21.792,12617728,621.440504,2974.420002,20.89283,4,50470912,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,float16,float32,float32,1e-06,True,,False,116.047997,114.723202,117.568001,12617728,108.728529,2974.420002,3.655453,4,50470912,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,bfloat16,bfloat16,same,1e-06,True,0.189736,False,8.96,8.544,9.3408,8396800,937.142832,2974.420002,31.506742,4,33587200,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,512,4096,bfloat16,bfloat16,same,1e-06,True,,False,13.024,12.736,13.4592,8396800,644.717422,2974.420002,21.6754,4,33587200,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,bfloat16,bfloat16,same,1e-06,True,442.083226,False,24.16,23.564801,24.8192,12601344,521.578817,2974.420002,17.53548,4,50405376,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,bfloat16,bfloat16,same,1e-06,True,,False,19.616,17.888,21.449599,12601344,642.401293,2974.420002,21.597531,4,50405376,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,bfloat16,float32,float32,1e-06,True,0.141524,False,9.008,8.832,9.2256,8404992,933.058648,2974.420002,31.369432,4,33619968,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,512,4096,bfloat16,float32,float32,1e-06,True,,False,55.167999,53.68,56.486401,8404992,152.352671,2974.420002,5.122097,4,33619968,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,bfloat16,float32,float32,1e-06,True,446.744521,False,20.368,19.638401,21.088,12617728,619.487809,2974.420002,20.82718,4,50470912,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,bfloat16,float32,float32,1e-06,True,,False,117.071997,114.364799,119.270399,12617728,107.777507,2974.420002,3.62348,4,50470912,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,float32,float32,same,1e-06,True,0.272657,False,11.84,11.4912,12.1248,16793600,1418.3784,2974.420002,47.685882,4,67174400,157286400,True,48
1,torch,torch.nn.functional.rms_norm,fwd,512,4096,float32,float32,same,1e-06,True,,False,13.696,13.4112,14.7072,16793600,1226.168226,2974.420002,41.223776,4,67174400,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,float32,float32,same,1e-06,True,434.711167,False,24.143999,23.5104,25.1456,25200640,1043.764106,2974.420002,35.091349,4,100802560,157286400,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,float32,float32,same,1e-06,True,,False,24.768,23.744,25.433599,25200640,1017.467681,2974.420002,34.207263,4,100802560,157286400,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,float16,float16,same,1e-06,True,314.903849,False,36.095999,34.1344,42.0256,49158000,1361.868382,2974.420002,45.786015,4,196632000,157286400,False,48
1,torch,torch.nn.functional.rms_norm,fwd,4096,3000,float16,float16,same,1e-06,True,,False,26.448,25.696,33.139199,49158000,1858.666046,2974.420002,62.488352,4,196632000,157286400,False,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,float16,float16,same,1e-06,True,468.409166,False,68.944003,66.112,82.319997,73756384,1069.801293,2974.420002,35.966719,3,221269152,157286400,False,36
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,3000,float16,float16,same,1e-06,True,,False,63.056003,60.912,87.264001,73756384,1169.696462,2974.420002,39.325195,3,221269152,157286400,False,36
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,float16,float32,float32,1e-06,True,330.972081,False,35.887999,34.031999,42.8768,49164000,1369.928688,2974.420002,46.057002,4,196656000,157286400,False,48
1,torch,torch.nn.functional.rms_norm,fwd,4096,3000,float16,float32,float32,1e-06,True,,False,219.407998,218.486397,226.6976,49164000,224.075697,2974.420002,7.533425,4,196656000,157286400,False,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,float16,float32,float32,1e-06,True,434.471277,False,65.072,60.848001,79.472002,73768384,1133.642488,2974.420002,38.11306,3,221305152,157286400,False,36
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,3000,float16,float32,float32,1e-06,True,,False,543.455988,541.616023,570.591986,73768384,135.739389,2974.420002,4.563558,3,221305152,157286400,False,36
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,bfloat16,bfloat16,same,1e-06,True,307.803758,False,35.472,33.164799,42.947199,49158000,1385.825439,2974.420002,46.591451,4,196632000,157286400,False,48
1,torch,torch.nn.functional.rms_norm,fwd,4096,3000,bfloat16,bfloat16,same,1e-06,True,,False,26.256,25.7504,33.103999,49158000,1872.257792,2974.420002,62.945307,4,196632000,157286400,False,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,bfloat16,bfloat16,same,1e-06,True,445.156628,False,70.4,67.216001,82.591999,73756384,1047.675915,2974.420002,35.222864,3,221269152,157286400,False,36
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,3000,bfloat16,bfloat16,same,1e-06,True,,False,64.112,61.344,87.472003,73756384,1150.430244,2974.420002,38.677465,3,221269152,157286400,False,36
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,bfloat16,float32,float32,1e-06,True,327.94693,False,35.76,33.712001,42.5376,49164000,1374.832201,2974.420002,46.221858,4,196656000,157286400,False,48
1,torch,torch.nn.functional.rms_norm,fwd,4096,3000,bfloat16,float32,float32,1e-06,True,,False,222.592004,221.743999,227.279997,49164000,220.870468,2974.420002,7.425665,4,196656000,157286400,False,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,bfloat16,float32,float32,1e-06,True,433.778872,False,62.640002,59.488,78.623999,73768384,1177.656157,2974.420002,39.5928,3,221305152,157286400,False,36
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,3000,bfloat16,float32,float32,1e-06,True,,False,543.535978,541.408002,566.911995,73768384,135.719413,2974.420002,4.562887,3,221305152,157286400,False,36
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,float32,float32,same,1e-06,True,311.781226,False,51.967999,38.6208,59.759999,98316000,1891.856565,2974.420002,63.604217,2,196632000,157286400,False,24
1,torch,torch.nn.functional.rms_norm,fwd,4096,3000,float32,float32,same,1e-06,True,,False,48.848001,44.4992,53.1168,98316000,2012.692381,2974.420002,67.666718,2,196632000,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,float32,float32,same,1e-06,True,421.840585,False,82.367998,63.5936,97.583998,147496384,1790.70013,2974.420002,60.203338,2,294992768,157286400,False,24
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,3000,float32,float32,same,1e-06,True,,False,131.759997,121.158399,148.784003,147496384,1119.432201,2974.420002,37.63531,2,294992768,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,4096,float16,float16,same,1e-06,True,0.148364,False,36.799999,33.232,48.111999,67117056,1823.833095,2974.420002,61.317268,3,201351168,157286400,False,36
1,torch,torch.nn.functional.rms_norm,fwd,4096,4096,float16,float16,same,1e-06,True,,False,32.432001,31.456001,39.311999,67117056,2069.470084,2974.420002,69.575584,3,201351168,157286400,False,36
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,4096,float16,float16,same,1e-06,True,439.160033,False,84.431998,67.4784,88.204801,100696064,1192.629168,2974.420002,40.096192,2,201392128,157286400,False,24
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,4096,float16,float16,same,1e-06,True,,False,89.504004,76.780801,106.540801,100696064,1125.045361,2974.420002,37.824025,2,201392128,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,4096,float16,float32,float32,1e-06,True,0.15064,False,37.247999,34.192,48.752001,67125248,1802.116904,2974.420002,60.58717,3,201375744,157286400,False,36
1,torch,torch.nn.functional.rms_norm,fwd,4096,4096,float16,float32,float32,1e-06,True,,False,292.960003,291.856006,297.711998,67125248,229.127687,2974.420002,7.703273,3,201375744,157286400,False,36
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,4096,float16,float32,float32,1e-06,True,469.968548,False,75.792,60.883201,80.224,100712448,1328.800512,2974.420002,44.674273,2,201424896,157286400,False,24
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,4096,float16,float32,float32,1e-06,True,,False,718.56001,708.249587,733.67039,100712448,140.158715,2974.420002,4.712136,2,201424896,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,4096,bfloat16,bfloat16,same,1e-06,True,0.24136,False,36.336001,34.256,47.424002,67117056,1847.122802,2974.420002,62.100268,3,201351168,157286400,False,36
1,torch,torch.nn.functional.rms_norm,fwd,4096,4096,bfloat16,bfloat16,same,1e-06,True,,False,32.256,31.440001,38.912,67117056,2080.761921,2974.420002,69.955215,3,201351168,157286400,False,36
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,4096,bfloat16,bfloat16,same,1e-06,True,1.590869,False,79.951998,67.011201,87.350399,100696064,1259.456508,2974.420002,42.342928,2,201392128,157286400,False,24
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,4096,bfloat16,bfloat16,same,1e-06,True,,False,96.864,83.430402,111.103997,100696064,1039.561282,2974.420002,34.95005,2,201392128,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,4096,bfloat16,float32,float32,1e-06,True,0.135226,False,36.288001,33.151999,47.408,67125248,1849.791854,2974.420002,62.190002,3,201375744,157286400,False,36
1,torch,torch.nn.functional.rms_norm,fwd,4096,4096,bfloat16,float32,float32,1e-06,True,,False,293.536007,292.127997,297.968,67125248,228.678071,2974.420002,7.688157,3,201375744,157286400,False,36
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,4096,bfloat16,float32,float32,1e-06,True,1.244658,False,77.071998,60.6016,80.547202,100712448,1306.73202,2974.420002,43.93233,2,201424896,157286400,False,24
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,4096,bfloat16,float32,float32,1e-06,True,,False,717.776,707.996804,732.099187,100712448,140.311807,2974.420002,4.717283,2,201424896,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,4096,float32,float32,same,1e-06,True,0.233814,False,59.456002,50.217601,70.070399,134234112,2257.704985,2974.420002,75.904041,2,268468224,157286400,False,24
1,torch,torch.nn.functional.rms_norm,fwd,4096,4096,float32,float32,same,1e-06,True,,False,70.143998,66.278398,74.911999,134234112,1913.693494,2974.420002,64.338375,2,268468224,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,4096,float32,float32,same,1e-06,True,437.285449,False,101.151999,84.927998,118.4,201375744,1990.823175,2974.420002,66.931475,2,402751488,157286400,False,24
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,4096,float32,float32,same,1e-06,True,,False,173.936002,163.052797,189.372799,201375744,1157.757691,2974.420002,38.923813,2,402751488,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,32768,1024,float16,float16,same,1e-06,True,230.978017,False,59.632,49.9488,70.931198,134219776,2250.801196,2974.420002,75.671936,2,268439552,157286400,False,24
1,torch,torch.nn.functional.rms_norm,fwd,32768,1024,float16,float16,same,1e-06,True,,False,58.639999,54.620799,62.736001,134219776,2288.87751,2974.420002,76.952062,2,268439552,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,32768,1024,float16,float16,same,1e-06,True,366.522944,False,107.264001,87.007999,124.463999,201461760,1878.186141,2974.420002,63.144618,2,402923520,157286400,False,24
1,torch,torch.nn.functional.rms_norm autograd,bwd,32768,1024,float16,float16,same,1e-06,True,,False,205.055997,193.4176,223.151995,201461760,982.471926,2974.420002,33.030706,2,402923520,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,32768,1024,float16,float32,float32,1e-06,True,236.517911,False,60.271999,51.059201,71.571201,134221824,2226.935003,2974.420002,74.869554,2,268443648,157286400,False,24
1,torch,torch.nn.functional.rms_norm,fwd,32768,1024,float16,float32,float32,1e-06,True,,False,553.359985,549.686408,557.497597,134221824,242.557878,2974.420002,8.154796,2,268443648,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,32768,1024,float16,float32,float32,1e-06,True,371.739341,False,100.832,83.865603,118.012799,201465856,1998.034902,2974.420002,67.173933,2,402931712,157286400,False,24
1,torch,torch.nn.functional.rms_norm autograd,bwd,32768,1024,float16,float32,float32,1e-06,True,,False,1354.095995,1343.852806,1371.42719,201465856,148.782551,2974.420002,5.002069,2,402931712,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,32768,1024,bfloat16,bfloat16,same,1e-06,True,235.284931,False,60.816001,49.9264,70.742399,134219776,2206.981279,2974.420002,74.19871,2,268439552,157286400,False,24
1,torch,torch.nn.functional.rms_norm,fwd,32768,1024,bfloat16,bfloat16,same,1e-06,True,,False,58.432,54.655999,62.844802,134219776,2297.025201,2974.420002,77.225987,2,268439552,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,32768,1024,bfloat16,bfloat16,same,1e-06,True,369.728295,False,103.584003,86.959999,120.799998,201461760,1944.911905,2974.420002,65.387938,2,402923520,157286400,False,24
1,torch,torch.nn.functional.rms_norm autograd,bwd,32768,1024,bfloat16,bfloat16,same,1e-06,True,,False,203.056,190.784007,239.315203,201461760,992.148766,2974.420002,33.356041,2,402923520,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,32768,1024,bfloat16,float32,float32,1e-06,True,235.112194,False,60.255999,50.972801,71.283201,134221824,2227.526334,2974.420002,74.889435,2,268443648,157286400,False,24
1,torch,torch.nn.functional.rms_norm,fwd,32768,1024,bfloat16,float32,float32,1e-06,True,,False,555.056006,552.796823,558.054411,134221824,241.816722,2974.420002,8.129878,2,268443648,157286400,False,24
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,32768,1024,bfloat16,float32,float32,1e-06,True,374.116483,False,102.623999,85.644802,119.670402,201465856,1963.145636,2974.420002,66.000956,2,402931712,157286400,False,24
