schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,correctness_passed,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,copy_roofline_gbps,copy_roofline_pct,rotation_buffers,rotation_working_set_bytes,l2_target_bytes,l2_eviction_between_calls,timed_samples
1,torch,torch.nn.functional.rms_norm,fwd,256,4096,float16,float32,float32,1e-06,True,,False,40.288001,38.943999,41.993599,4210688,104.514691,4148.155822,2.519546,4,16842752,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,float16,float32,float32,1e-06,True,1078.013533,False,16.672,16.416,17.6992,6325248,379.393468,4148.155822,9.146076,4,25300992,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,float16,float32,float32,1e-06,True,,False,150.512002,109.046403,184.710404,6325248,42.024874,4148.155822,1.013098,4,25300992,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,bfloat16,bfloat16,same,1e-06,True,0.297485,False,7.424,7.232,7.9552,4202496,566.068951,4148.155822,13.64628,4,16809984,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,256,4096,bfloat16,bfloat16,same,1e-06,True,,False,12.016,11.5008,12.448,4202496,349.741671,4148.155822,8.431257,4,16809984,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,bfloat16,bfloat16,same,1e-06,True,1078.936821,False,20.032,19.776,20.288,6308864,314.9393,4148.155822,7.592273,4,25235456,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,bfloat16,bfloat16,same,1e-06,True,,False,16.016,15.136,17.696,6308864,393.910091,4148.155822,9.496029,4,25235456,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,bfloat16,float32,float32,1e-06,True,0.237264,False,7.28,6.7744,7.5616,4210688,578.391207,4148.155822,13.943334,4,16842752,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,256,4096,bfloat16,float32,float32,1e-06,True,,False,39.888,38.966399,42.1056,4210688,105.562775,4148.155822,2.544812,4,16842752,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,bfloat16,float32,float32,1e-06,True,1080.496921,False,16.64,16.192,17.7152,6325248,380.123076,4148.155822,9.163664,4,25300992,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,bfloat16,float32,float32,1e-06,True,,False,110.079996,105.3312,119.574399,6325248,57.460467,4148.155822,1.385205,4,25300992,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,float32,float32,same,1e-06,True,0.384451,False,8.544,8.416,8.6912,8404992,983.730353,4148.155822,23.714884,4,33619968,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,256,4096,float32,float32,same,1e-06,True,,False,11.008,10.6144,11.6128,8404992,763.534884,4148.155822,18.40661,4,33619968,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,float32,float32,same,1e-06,True,1044.700526,False,19.056001,18.208001,50.1216,12616704,662.085616,4148.155822,15.960963,4,50466816,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,float32,float32,same,1e-06,True,,False,17.535999,16.480001,18.6208,12616704,719.474476,4148.155822,17.344442,4,50466816,188743680,True,48
