schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,peak_bw_gbps,peak_bw_pct,rotation_buffers,rotation_working_set_bytes,rotation_target_bytes,evictor_threshold_bytes,l2_eviction_between_calls,timed_samples
3,torch,torch.nn.functional.rms_norm,fwd,4096,4096,bfloat16,bfloat16,same,1e-06,,False,22.300125,21.917024,22.872225,67117056,3009.716569,6639.511641,45.330391,4,268468224,805306368,536870912,True,40
3,torch,torch.nn.functional.rms_norm,fwd,32768,1024,bfloat16,bfloat16,same,1e-06,,False,50.165251,49.612249,51.289249,134219776,2675.55277,6639.511641,40.297433,4,536879104,805306368,536870912,False,40
